gene_symbol	associated_genes
TSPAN3	 STUB1,  SCARB2,  S100A13,  NDFIP1,  MAP1LC3B,  RAB6A,  MATR3,  GABARAPL2,  REEP5,  VPS4A,  SUMO3,  RNF11,  OCIAD1,  CLTC,  MRPS21,  ZMAT2,  TMX2,  OAZ2,  C20orf30,  COPA,  FAM50A,  ARPC1A,  TOMM20,  VTI1B,  PFDN2,  PPP2CB,  NHP2L1,  DNAJA1,  AARS,  USP22,  NARS
EEPD1	 STRN3,  ATXN3,  DDX58,  INTS6,  UEVLD,  CDC26,  PHC3,  UBOX5,  ZNF654,  RC3H1,  ALKBH1,  RRP8,  ZCCHC2,  FKBP15,  TAF5L,  DDX59,  STYX,  TRNAU1AP
TDRD9	 STK31,  TTC25,  CCDC135,  TEKT3,  FKBP6,  TTLL10,  KDM4D,  LRRC46,  EFCAB6,  LRRC71,  CATSPER3,  LDHAL6B,  KEL,  OXCT2,  CCDC157,  RSPH9
RPS6KA2	 STARD3NL,  FAM58A,  ATP2C1,  FAM20B,  TSEN15,  GOLM1,  COPS8,  MRPS14,  GOLIM4,  SNX19,  TMEM184B,  DDHD2,  MPV17,  KIDINS220,  FBXW11,  PAFAH1B2
MICB	 ST8SIA4,  GNGT2,  SCAP,  PTPN22,  SH2D2A,  GBP5,  GPR65,  APOBEC3D,  RHOF,  APAF1,  GNG8,  CD84,  CD86,  GPR132,  MEF2B,  NLRC3,  CERKL,  FBXO5
COX7A2	 SRP9,  NDUFB8,  PPP2R1A,  STRAP,  COPS6,  FBXW5,  UQCR10,  POLR2E,  HIGD1A,  MRPL51,  DRAP1,  PSMD4,  ATP5L,  GADD45GIP1,  TUFM,  USMG5,  NDUFV2,  MLF2,  POLR2J,  USF2,  TAF15,  PFDN2,  VDAC3,  KLHDC3,  COPE,  POLR2I,  PSMC3
KIF19	 SORCS1,  BEST1,  MIA,  FOXD1,  PCDH17,  FOXD3,  GAS2L3,  MATN3,  P2RY6,  GLI1,  ADAMTS14,  BMP8B,  PRRG3,  CLDN19,  WNT6,  BIRC7,  SLC25A48,  TMPRSS5
TINF2	 SON,  UBE2Z,  MED15,  SF3A1,  FNBP4,  DVL3,  SUPT4H1,  SNW1,  PSMG2,  SUPT6H,  TRA2B,  RXRB,  UBE2G2,  RELA,  CRTC2,  SLTM,  HDAC3,  DDX23,  MET
HGSNAT	 SNX1,  XPC,  DVL2,  KDM5C,  BCLAF1,  CCDC130,  MAP4K5,  METTL3,  ZMIZ1,  CGGBP1,  LZTR1,  ZNF384,  GATAD1
SCD	 SNCG,  FASN,  QDPR,  DPYSL2,  FBXO2,  GPM6B,  PLEKHB1,  TSC22D4,  APLP1,  STMN1,  TUBB2B,  CNP,  FAS,  PON2,  SEPT4,  SIRPA,  SCD5
PNMA2	 SLITRK1,  CDH9,  NRG3,  TMEM132D,  DLGAP2,  PTPRT,  CDH8,  PABPC1L2B,  HMGCLL1,  DSCAM,  KCTD16,  CRH,  GABRA4,  FRMPD4,  GRIN2B,  LRRTM3,  DACH2,  PNMA6C,  LRP1B,  SORCS3,  LRRTM4,  SOX1,  PNMA6A,  ERC2,  FAM19A1,  NETO1
SEZ6L	 SHANK1,  CLEC2L,  ADD2,  GDAP1L1,  GRIN2A,  DLGAP1,  OPCML,  KCNQ2,  GRIA4,  RGS7,  GABRG2,  RAB3C,  CACNG2,  RALYL,  SYT3,  UNC5A,  GABRB2,  DBC1,  ZDHHC22,  JPH3,  BSN,  TNR,  UNC13C
CXADR	 SGPP2,  OCLN,  ARHGEF5,  TGFA,  IGSF9,  WNT3,  MYCL,  FAAH2,  CDCP1,  PRRG2,  IL20RA,  AACS,  CRB3,  GRHL2,  RAB27B,  ZNF440,  IGSF3,  OVOL2,  MYO5B,  RHBDL2,  SDR42E1,  CELSR1,  GSTO2,  RDH13
PLK3	 SERTAD2,  EIF4A2,  SLC25A43,  KDM5A,  CNOT2,  AQR,  RNF135,  MAP3K2,  DUSP11,  CNOT6L,  TAF1,  ACAP2,  RBP2,  H3F3B,  ZNF791,  MYST3,  H3F3A,  GLA,  BACH1,  FBXO42,  IRAK4,  ATP10D,  DPYD,  KAT6A,  DNAJC17
ABR	 SERGEF,  MPND,  WIPF2,  NAPG,  POGK,  VPS41,  UBE2V2,  ARHGAP5,  TPH1,  STOML1,  BTBD10,  IDS,  RAB5A,  PNPLA8,  AKTIP,  PPP2R5C,  POLR3H,  RAP2A,  TP53BP2
SDC4	 SCARB2,  SYPL1,  HDGF,  RNH1,  TOB1,  EIF6,  PHB,  EIF3B,  TMED2,  BRI3,  TMEM147,  ARPC1A,  SARS,  CCT6A,  HSD17B10,  QARS,  EIF3A,  EIF4G1,  IRF2BP2,  NARS
TBL2	 SAP130,  VRK3,  FBXO25,  MEX3D,  NARF,  AGBL5,  COIL,  SMPD2,  DERL2,  ZNHIT2,  NAT6,  YBEY,  RAD17,  POLR2D,  PDCD11,  RNF138,  TMF1,  KDM5B,  LYAR,  RSPRY1,  PHF8
PXK	 RYBP,  CRIPT,  PHAX,  FAM188A,  ASF1A,  GTF2I,  RANBP9,  KLHL22,  SLC35A5,  TAOK3,  ZFYVE16,  RCBTB1,  IPO9,  PHF20L1,  SAMD8,  ACTR6,  ZFYVE20,  DLG1,  YEATS2,  SNX27
CNR1	 RUNX1T1,  ITSN1,  KIAA1324L,  TMEM22,  LHX6,  SLC35G2,  TBC1D16,  NBEA,  NEGR1,  PREX2
STAG3L3	 RPP38,  TIMM23B,  ZNF701,  ZNF790,  ZNF782,  ZNF611,  TAF1A,  ZNF100,  ZNF669,  TIMM23,  ZNF225,  HN1L,  ZNF2,  ZNF567,  ZNF280C,  SLC38A9,  ZNF599
SNX29P2	 RPL9,  NBL1,  WDR92,  UBA7,  ZBTB8A,  MEX3A,  CRCP,  RPL23,  NAIP,  MTMR8,  ARL17A,  TK2,  EGLN2,  ZNF763,  GABRR2,  RALY,  OR52N4
SSR2	 RPL28,  GANAB,  HMGN2,  RPL27A,  TMED9,  KDELR1,  PCBP2,  EIF3D,  DDOST,  RPL7,  EEF1D,  SF1,  NONO,  HNRNPH1,  CD164,  PRKCSH,  RPN2,  RPL17,  HNRNPA1
ZNF593	 RPF2,  SMUG1,  SNRNP35,  ORC4,  SLC25A26,  LSM5,  MCAT,  PRPF18,  DNAJC2,  HIF1AN,  ORC4L,  MRPL22,  GOSR1,  DBR1,  CUL5,  MRPL19,  MRPL15,  LARP4,  FECH,  MRS2,  PCGF1,  RANBP6,  SARM1
ING5	 RPAIN,  BRF1,  ZNF84,  PPOX,  MED23,  ZNF205,  RG9MTD3,  HKR1,  TRMT10B,  RABL2B,  ANKS3,  ZNF75A,  ZFP62,  MUTYH,  HNRNPA1L2,  ZNF862
TBC1D1	 ROCK1,  CRTC3,  SERTAD3,  VEZF1,  INPP5A,  SPOP,  SLMAP,  ZEB1,  LBR,  SETD1B,  SEC23A,  TAZ,  SCMH1,  TNRC18,  WWTR1,  DHX35
TMEM44	 RNF2,  PEX3,  HEATR1,  SULT1A3,  BAP1,  FBXO4,  ZNF26,  RNASEL,  SULT1A4,  HUS1,  METTL4,  DDX60,  RBM45,  ABHD13,  GLI4,  ZNF621,  THSD1,  CPNE8,  ZNF562,  ATXN3,  MRPL19,  MRPL15,  FPGT,  ITGAE,  ARL13B,  ACER3
CELF2	 RNF130,  CDK17,  AGFG1,  MSL3,  BID,  CUGBP2,  TRIO,  MAP3K3,  ARRB1,  AKAP11,  RAPGEF2,  PPP2R5C,  ARHGEF6,  CDS2,  RAB8B,  CSGALNACT2,  RGL1,  GPCPD1,  DDHD2,  PGS1,  SNX27
PMM2	 RIPK1,  IMP3,  DERA,  SPPL2A,  TTC31,  SLC39A9,  PPA2,  RPIA,  PKN2,  TOR3A,  ALG5,  ERP44,  DNAJC1,  CCNC,  KIAA0020,  NUDT5,  SSR1,  ALG2,  RPL39,  SLC30A5,  GFPT1,  UGDH,  ALG12,  GRWD1,  TCEB3,  TMX1,  CASP7
OTOR	 RGS21,  OR4F5,  DFFB,  RCC2,  PLEKHM2,  OR4F16,  ZBTB8A,  DNAJC8,  MAGEA2,  OR4F3,  CAD
DSPP	 RGS21,  HSFY1,  TAS2R16,  OR7G3,  OR10A5,  TSPY3,  OR5T2,  HTR3D,  OR52E6,  OR10R2,  OR52E2,  MRGPRX1,  OR12D3,  DEFB129,  OR1D5,  OR51G2,  TGM6,  KRTAP10-5,  DUX4L2,  MAGEA9,  ZP4,  TSPY1,  RNASE9,  OR10C1,  KRTAP10-9,  OR4K15,  OR4D10,  TRIM64B,  HSFY2,  DUX2
LGALS8	 RFWD3,  SMC6,  SLC30A6,  EAF1,  ACTR8,  TOP3A,  GCC1,  DUS2L,  TFAM,  DNAJC2,  HSPA14,  ATF7IP,  EXOSC3,  EIF5AL1,  YARS2,  GTF3C3,  ADNP2,  CDK12,  DR1,  PCYT1A,  WDR36
RDH8	 RFPL4B,  CDC20B,  ADAM7,  GOLGA6D,  GOLGA6L6,  MAGEB16,  CRISP1,  MAGEA10,  RHOXF2,  RHOXF2B,  CRYGC,  GSC2,  OR6F1,  OR1C1,  FBXO47
TGIF2	 RFC4,  HEATR1,  PPM1D,  C3orf63,  NAA38,  TOPBP1,  POLD1,  EED,  ZNF496,  NUP160,  FBXO46,  DHX37,  TRIM5,  TOE1,  TOP3B,  XRCC3,  ZMYM5,  CENPC1,  EHMT1,  MRE11A,  HAUS1,  CDK2,  C10orf137,  CDK12,  TMEM194A,  ZNF841
WFS1	 RERE,  NDN,  PHF1,  RAB39,  NR1H2,  RAB34,  EFEMP2,  HNRNPH3,  ZFYVE21,  ZBTB4,  ESD,  ZRANB2,  LTBP3,  FGFR1,  FLG,  CDK9,  ABL1,  HP1BP3,  SDC2,  MANBAL,  GLG1
HRAS	 RBX1,  RALBP1,  TNPO2,  ZNF428,  RANGAP1,  PDZD11,  MED29,  HDAC5,  UBQLN4,  WNK1,  TMEM189,  ERI3,  ZCCHC17,  ABHD12,  ATP6V1H,  BCAS2,  HARS,  VPS26B,  FBXW4,  POP7,  DNM1L,  PPME1,  HSPBP1
ZNF84	 RBM4B,  RABL2A,  ZNF721,  FAM179B,  WDR83,  ZNF142,  ZNF576,  ZFP90,  TRIM68,  CSTF3,  RABL2B,  ZNF75A,  FIZ1,  ZNF263,  PRMT7,  ZNF133,  TNKS,  HNRNPA1L2,  ZNF862
DBP	 RBM4B,  POLR3F,  DSTYK,  PHLPP1,  REPS1,  KPTN,  PLA2G4B,  ACYP1,  ATP6V0A1,  BCL7A,  KIAA0195,  KCTD6,  SGK2,  L3MBTL,  MTA3,  IQSEC2,  BTRC,  STXBP5,  L3MBTL1
PHF20	 RAD54L,  HNRPLL,  KBTBD4,  SNUPN,  OGFOD1,  MIB1,  KLHL20,  GTF2A1,  ATRX,  DNAJC21,  PPIE,  RLF,  PPP2R5E,  VPS37A,  DCP1A,  CUL5,  IK,  CWC27,  HDAC2,  CDC5L,  CUL2,  TUBGCP3,  TTF1
GGCX	 RAD1,  SLC30A6,  TDRD3,  PEX13,  HELZ,  TRIP11,  DHRSX,  UGGT1,  ZZZ3,  GOSR1,  MFAP3,  GC,  YARS2,  NARS2,  MINPP1,  FAM133B,  UTP14A,  DBR1,  XIAP,  ELMOD2,  DPH5,  PURA,  CHD9
HLF	 RABL2A,  PITPNM2,  ZSCAN18,  GTF2I,  MTA3,  ZNF205,  FAM200B,  ZFYVE9,  RABL2B,  MTERFD3,  TSHZ1,  KLHL22,  BCL7A,  ZFYVE20,  POU6F1,  PER3,  RGS12
TMEM179B	 RAB13,  SMARCD2,  ZC3H11A,  COPB2,  HEXB,  E2F4,  TM9SF3,  MGAT1,  ACIN1,  TM9SF2,  SCAMP2,  RELA,  TRPC4AP,  TRA2B,  SLC39A1,  TMEM115,  CORO1B,  CD46
KHDRBS3	 RAB11FIP5,  FAM195B,  LRTOMT,  DDX20,  TRIM23,  DNAJC18,  GLRX2,  NKIRAS1,  C6orf64,  TBPL1,  RPS6KC1,  CREM,  LRRC23
NUGGC	 PZP,  KLRK1,  TTC24,  AKR1CL1,  ICOS,  IL27,  LBX2,  ZNF80,  MMP12,  IGSF23,  SLC22A10,  CLDN14,  GDF2,  IDO2,  KMO,  ENPP7,  CLEC1B
DEXI	 PRKRA,  BAD,  PSMC2,  MRPS9,  UQCR11,  DLGAP4,  UROD,  PRKAG1,  VPS72,  MRPL24,  MRPL10,  VAPA,  POLR2K,  C6orf89,  PSMC1,  TIMM44,  BRAP,  RAX,  SPAG7,  VPS11,  PITRM1,  TMEM129,  UBL4A,  RANBP3,  SNAPIN,  GLG1,  TOMM70A
USP26	 PRDM14,  CT45A4,  DAZ3,  RBMY1F,  RBMY1E,  OR56A1,  DAZ2,  SSX8,  OR2W1,  GJA10,  OR8B3,  CT45A2,  RBMY1A1,  RBMY1J,  NOBOX,  DAZ4,  PSMB11,  GIP,  RBMY1B,  OR8G1,  SARS2,  OR5V1
NOS1	 PRB2,  GTF2I,  B3GALT1,  HS3ST5,  LRP1B,  GABRB1,  SLC8A3,  DCX,  XKR4,  CSMD2,  SYT6,  CSMD3,  LRRTM4,  SOX1,  PAK6,  MYH15,  SNTG1,  KCNK10
PPM1E	 PPP1R42,  ADAM21,  FAM19A3,  PRSS46,  TPTE2,  LRRD1,  MEIG1,  PRSS50,  ZNF645,  TMPRSS12,  ODF3,  ERVW-1,  CYP51A1,  ERVWE1
MED7	 POP4,  ACTR8,  CDC26,  PARG,  HERC4,  C1D,  TERF2,  HSPA14,  FARS2,  TUBGCP5,  TRMT12,  FKBP15,  EXOSC3,  TP53RK,  ZNF148,  SNX13,  POT1,  SOCS4,  SOCS7,  ZSCAN29,  SLC13A3,  ARL14EP
UHRF1	 POLH,  ESCO2,  GPR55,  KIF18B,  E2F7,  SPC24,  SGOL1,  ASPM,  ARHGAP11B,  SPC25,  POLQ,  CLSPN,  EXO1,  XRCC2,  MCM10,  CENPA,  KIF4A,  CENPE,  KIF14
ETFB	 POLD4,  HADHA,  MRPL27,  ATP5G1,  HSPE1,  MDH2,  PHB,  ATP5F1,  MRPL41,  UQCR10,  PSMB5,  HADH,  HES1,  ATP5L,  GADD45GIP1,  TUFM,  TMX2,  SLC25A11,  HADHB,  USMG5,  NDUFV2,  ATP5O,  COX6C,  DLST,  UQCRH,  CS,  VTI1B,  VDAC3,  NDUFB4,  SDHA
RERG	 PLXDC2,  AMIGO2,  PLEKHH2,  OLFML1,  CACHD1,  SNX21,  SYDE1,  RIMKLB,  FBXL7,  CCDC102A,  DCHS1,  PDGFC,  ERG,  KIRREL,  RHOJ,  SOX18,  CDH19,  C10orf72,  PTPRG,  ADAMTS10,  SLC24A3,  PRICKLE2,  PHLDB2
ADIPOQ	 PLIN1,  LEP,  GPD1,  RBP7,  GSC,  AQP7,  CD300LG,  THRSP,  GYG2,  MAP1LC3C,  PLIN4,  GRIP1,  AQP9,  ITLN1,  BTNL9,  SLC19A3,  PPARG,  LGALS12,  CD36,  TIMP4,  TNMD,  LIPE
CYP1B1	 PLEKHG2,  RBMS2,  ARHGAP29,  OLFML1,  FGD5,  CLCF1,  FGF7,  ARAP3,  JDP2,  SOX17,  IL15RA,  FLT3LG,  SOX18,  CLC,  FAM70B,  SOCS2,  GBP1,  EDNRA,  SLFN11,  RPL13A,  STARD8,  ADAMTS9,  IGF1,  DPYD
IL11	 PLEKHD1,  PCDHA11,  NPFFR1,  NHLH2,  ZNF732,  KCNH1,  GRM6,  GPR179,  FOXD4,  PCDHA5,  SLC24A5,  SKOR1,  LBXCOR1,  ERAS,  STRC,  ZNF534,  PCDHA4,  PCDHA1,  NKX6-3,  ZNF157,  PCDHA2,  SLC35F4,  CATSPER2,  PCDHA6,  KRTAP5-8,  GRID2IP,  OR1F1,  OCM,  RRH
HSD17B1	 PIK3C3,  ZNF554,  ZNF329,  ZBTB6,  BANP,  PAPOLG,  ZNF14,  GLI4,  ZNF510,  HDAC8,  TSEN2,  METTL2B,  C14orf102,  ZKSCAN5,  ZNF236,  ZNF324,  LRIG2,  ZNF155,  ZNF260
GEMIN2	 PIK3C3,  ZNF197,  HSD17B1,  MAD1L1,  DDX10,  ZNF451,  SMN2,  SMN1,  ANAPC10,  NPAT,  SIP1,  METTL2B,  ZKSCAN5,  SUV39H1,  ZNF260
LRP6	 PHC3,  CHD5,  ZNF514,  ZNF496,  CHD6,  CWF19L2,  PIBF1,  ZNF644,  RAD52,  CTBP2,  ZNF343,  LRFN3,  ZNF791,  FAM133B,  COG5,  ZNF354B,  PTAR1,  ZFX,  PHIP,  LATS1
PEX3	 PEX2,  APTX,  TRMT61B,  MED6,  PIK3R4,  NAA35,  SYAP1,  SMARCAD1,  PPIE,  MRPL42,  PPP2R5E,  SNRNP40,  VAC14,  RNF121,  NCOA2,  GPN2,  STAM2,  PCGF1,  HDAC2,  EXOSC6
GLYCTK	 PECR,  TM4SF5,  CYP2B6,  PIPOX,  SLC27A2,  SLC22A7,  MTHFS,  FMO3,  CLN3,  EHHADH,  LEAP2,  PON3,  C2,  CFB,  C10orf125,  CYP4F3,  ALDH8A1,  C5,  APOM,  MASP2,  CYP4F2,  CPN2,  PBLD,  ACSM5,  DHODH
FLAD1	 PDCD2,  PEX1,  GON4L,  VAC14,  YY1AP1,  ZNF787,  TBC1D22A,  GPN2,  KIAA1012,  UBE3B,  PCGF1,  CRNKL1,  INO80,  EXOSC6,  NCOA6
AGPS	 PCGF6,  SLC30A6,  MED1,  RNH1,  TAF2,  UBR1,  PRPF18,  TWISTNB,  GOSR1,  ZNF644,  LTN1,  UEVLD,  SMAD2,  PDCL,  GTF3C3,  RNASEH1,  NOP9,  POLK,  ABCB10,  TROVE2,  PURA,  RC3H2,  RBM27
IL1RAP	 PCDHGA10,  TMEM241,  KRAS,  TMEM185A,  RABGEF1,  RNF169,  TMEM43,  HPSE,  MMAA,  RASSF9,  FRRS1,  CHURC1,  RMND5A,  RASGEF1B,  ZNF430,  SCRIB
NDUFB7	 PARK7,  ATP5D,  ECH1,  DAD1,  YWHAQ,  TRAPPC1,  AP2M1,  PRDX2,  GHITM,  PSMC5,  COX7C,  MTCH1,  NDUFB9,  EIF4G2,  ATP5J,  RAB7A,  EDF1,  RAB1B,  SRP14,  TMBIM6,  EIF4H,  ATP5I,  CAPNS1,  COX5B,  RAC1,  RABAC1,  COX4I1,  ATP5H,  UBL5,  COX6B1,  NDUFB11,  TOMM7,  SNX3,  ARF1,  CHMP4B,  PSAP
PPFIA1	 OTUD4,  RPAIN,  PEX1,  GTF2H1,  SENP2,  NCBP1,  TAF12,  TAF15,  EXOC2,  RANBP9,  DHX36,  ECD,  KLHDC10,  MKLN1,  DDX19B,  MAP3K7,  PPHLN1,  IPO9,  ZMYM4
SSR3	 OSTC,  CDK4,  BET1L,  ACLY,  SEC31A,  GORASP2,  MRPL3,  DPM1,  CDC16,  EIF2S2,  SSBP1,  UBE2Z,  PDIA6,  SEC22B,  PMPCB,  PLOD1,  SPCS3,  NOP58,  COPB1,  LSM2,  SND1,  COPB2,  MBTPS1
PIGU	 ORC3,  NCBP1,  EXOC2,  ORC3L,  DHX36,  ECD,  MED31,  NUDT15,  GTF2F2,  MAP3K7,  PPHLN1,  APTX,  PPIL3,  ZMYM4
RAD54L	 ORC1,  HMMR,  CENPF,  TTK,  RAD51AP1,  NDC80,  CDC25A,  CENPA,  GINS1,  RAD51,  CDC6,  KIF18A,  EME1,  FANCA,  DEPDC1B,  KIF15,  PLK4,  MAD2L1,  ORC1L,  GINS2,  KIF20A
NXF5	 OR2C1,  NTN3,  PPEF2,  PTPN20A,  WEE2,  NANOG,  PTX4
MED23	 NUP43,  LEMD3,  DDX55,  AKAP9,  GON4L,  SMARCAD1,  YY1AP1,  KMT2D,  BIRC6,  EXOSC2,  MON2,  TAF1,  ZNF263,  ZNF12,  SNRNP40,  MLL2,  DNAJC17
RBM5	 NONO,  KAT2A,  PNN,  SFRS6,  OGT,  SFRS4,  RHOT2,  PRKCSH,  AAMP,  BRD2,  SF3B1,  HNRNPM,  SF3B2,  HNRNPD,  SRSF4,  IK,  CPNE1,  SFPQ,  HNRNPU,  HNRNPA3,  UBA1,  CPN1,  SRSF6,  RBM39,  HMGN2
MRFAP1	 NDUFB7,  SFRS5,  DAD1,  PSMB4,  EIF4A2,  AP2M1,  APP,  PSMC5,  EIF4G2,  RAB7A,  EDF1,  SRP14,  TMEM66,  EIF4H,  ATP5I,  SRSF5,  SERINC1,  CCNI,  RABAC1,  YWHAE,  HNRNPK,  UBL5,  ARHGDIA,  CCDC72,  TOMM7,  ARF1
NSUN5	 NCOR1,  ZBTB17,  CDK5RAP1,  CHERP,  RFWD2,  SNURF,  ZNF672,  GOLGA1,  FAM193A,  SUDS3,  CLK3,  WDR74,  RNF4,  TCOF1,  AXIN1,  BRD9
POM121	 NCOR1,  AGAP6,  LRDD,  CDK5RAP1,  PIDD,  RBM19,  RBM26,  BRD9,  ZNF740
DZIP1	 NAA60,  FRS3,  RABL2A,  ZSCAN18,  ULK2,  TRPC1,  RABL2B,  DNAJC18,  ST3GAL3
MCAT	 NAA35,  EARS2,  ATPAF2,  LIAS,  TXNL4B,  SMUG1,  ORC4L,  MRPL22,  MRPL50,  PIGF,  NFS1,  ORC4,  MECR,  UNC5CL,  SLC25A26,  MAP2K5
RAD1	 MYNN,  POP4,  FARS2,  TRIP11,  TUBGCP5,  PHF14,  RNH1,  TRMT12,  TDRD3,  ZZZ3,  PARG,  SNX13,  ARL14EP,  HERC4,  MED20,  CNOT4,  RNASEH1,  NAA30,  TERF2
ELF5	 MUC19,  CASK,  LAMB3,  NLRP10,  COL17A1,  DLX4,  KRT75,  ASCL3,  SLITRK6,  OTX1,  BPIFB1,  WNT3A,  CYP4F8,  OVCH2,  GLYATL2,  KRT9,  IL36B,  MMP27,  SLC6A14,  IL1F8,  VGLL1,  GPR111,  LPO
PLEKHG4	 MTPAP,  MRPL9,  NUP155,  ZNF628,  DBF4,  H3F3C,  TREX1,  TSSK4,  ZNF473,  ZFAND4,  DNHD1,  GLB1L,  ZNF433,  TTLL5
ZNRF2	 MTHFSD,  ASXL2,  COG8,  FKBPL,  TRIM66,  FARP2,  INTS6,  USP42,  LARP1B,  ZNF44,  ADAT1,  ARID2,  ALG1,  TAB3,  GFER,  ATP6V0A2,  PIGW
MRPL44	 MRPS7,  EIF4E2,  TRIAP1,  ATAD3A,  MRPL46,  TOMM40,  MRPL27,  RNF4,  PPA2,  PPID,  GRPEL1,  CNOT7,  USP10,  GFM1,  MRPS11,  MRPS18C,  MRPL40,  PSMA1,  COQ5,  FAM193A,  TIMM17A,  CECR5,  MRPL17,  CTR9,  TIMM22,  PMPCA,  MRPS33,  TNPO3,  SFXN4,  TARS2,  SNURF,  MRPL39,  GRSF1,  INPP5E
SPAG4	 MRPL9,  MTPAP,  NSUN4,  SFMBT1,  DBF4,  ZNF473,  ZFAND4,  TSSK4,  ZMYND15,  DNHD1,  MNS1,  GLB1L
TTC1	 MRPL18,  MFF,  SLIRP,  UBE2D2,  PSMC2,  IDH3G,  C14orf156,  NAA10,  NDUFB6,  YKT6,  EMC2,  MRPL20,  COPS7A,  PSMD1,  PPP5C,  UBL7,  NUTF2,  ZFR,  SENP3,  H2AFV,  USP5,  BCAS2,  EIF4A1,  DNAJC7,  PPP2CA,  PDCD5,  ERAL1,  SGTA,  PFDN1,  LSM1
ADI1	 MRPL1,  MRPS7,  MRPL46,  CRLS1,  C8orf40,  MRPS18C,  TMEM14B,  FBXO8,  ATG5,  MAN2B2,  SCO1,  SUOX,  IPO8,  DET1,  TSPAN31,  HMGCL,  MCCC1,  DSCR3,  MPV17L2,  GCDH
ABCC6	 MOGAT1,  GPR82,  UGT2B11,  SAA1,  IMPG2,  LRRC8D,  MTHFS,  DNMT3L,  GLOD5,  HAVCR1,  GPR89C,  AMACR,  CYP7A1,  MMP21,  ASAH2,  ARR3,  ENPP7,  FOXH1,  MIA2,  CALCA,  LBX2,  INS-IGF2,  RXFP4,  UGT2B10,  PKD1L3,  SGK3,  ABCA4
SPP1	 MOBP,  PMP2,  CERCAM,  MAG,  LHPP,  MOG,  QDPR,  FGF1,  ERMN,  HIPK2,  CNP,  HAPLN2,  OLIG1
PHF2	 MLL5,  AMY2B,  CPSF6,  BAZ1B,  DMTF1,  PRPF3,  DMP1,  ZNF512,  KAT5,  ILKAP,  RNPC3,  SMPD4,  YTHDC1,  MLLT1
H2AFY	 MKRN1,  PSMC2,  RALB,  UBA3,  MET,  DPM1,  PPP1CC,  DAP3,  DDX23,  PDCD6IP,  USP7,  RAB11A,  STX10,  TRAF7,  TOX4,  TOMM22,  POLE3,  POLR2B,  TOP1,  SLTM,  NPEPPS
ELF2	 MKLN1,  ZNF592,  UTP6,  CDK13,  FBXL12,  NIPBL,  SETD1A,  YTHDC2,  VPS54,  FBXO38,  SOS1,  GORASP1,  ZNF639,  WDR33
DRG1	 MFF,  PSMC2,  CAPRIN1,  CIAO1,  CUL1,  YME1L1,  DPM1,  MRPL24,  DAP3,  STK11,  ZC3H15,  WBSCR22,  PSMF1,  MRPL47,  COPS3,  HSPA4,  SHFM1,  TAF7,  NRD1,  PTPMT1,  LARS,  WDTC1,  IPO5
MOK	 METTL10,  ADAT1,  DNAJC27,  IFT88,  RAGE,  FAM200A,  C7orf38,  TTLL5,  NEK11,  LMLN,  CHST5
MED21	 MED27,  USP34,  VPS45,  ATXN2,  MARCH5,  MKLN1,  SMG6,  CDC5L,  MAPKSP1,  ASH1L,  IPO8,  TERF1,  LENG1,  ZNF639,  ATG5
PHKA2	 MED23,  MDM4,  HEMK1,  HKR1,  C17orf101,  ZNF687,  MTG2,  C1orf27,  GALNS,  DNAJC25,  DERL2
GTF3C5	 MED16,  PRPF39,  MED24,  CHTOP,  MAP2K7,  TRMT1,  ILKAP,  LEMD2,  MCM3AP,  RBM23,  EIF2B5,  YTHDC1,  EDC4,  RBM14
MSX2	 MCMDC2,  ZNF677,  ZNF607,  CDKL5,  RGPD8,  DNMT3B,  C3orf35,  SIAH1,  PROKR1,  RGPD5,  ZNF410
ORM1	 MAT1A,  SERPINA1,  APCS,  LBP,  SAA1,  ITIH3,  APOH,  VTN,  APOA1,  FGL1,  APOC3,  AGXT,  SAA2,  GC,  APOA2,  TTR,  HP,  APOC1,  AHSG,  F2,  HPX,  HPD,  FGA,  HRG,  SERPINF2,  CYP2E1,  CYP2C8,  SERPINC1,  SAA4,  FGB,  FGG,  CRP,  ORM2,  RBP4,  AMBP
POU5F1B	 MAGI1,  AGAP9,  GPR89C,  MTAP,  RGPD5,  GCNT7,  NR2E3,  MUTED,  MTHFS,  ARR3,  HRNR,  ARL17A
POR	 MAEA,  PNKP,  AKT2,  SCAP,  MFSD1,  NIT1,  GTPBP2,  SKIV2L,  NEU1,  STX4,  GALT,  RBM23,  B4GALT3,  TMEM208,  RP1,  STK19,  OGFR,  NCLN,  ASCC2
RENBP	 LY96,  CARD8,  PLCB2,  IFNAR2,  DCK,  GIMAP2,  CD4,  TLR4,  F8A1,  CARD16,  ABCG1,  JDP2,  STX7,  PALD1,  FLI1,  PTPRE,  LAIR1,  CASP1,  MS4A4A
ETS2	 LTBR,  PIM3,  ADAM15,  CREG1,  SLC2A4RG,  APH1A,  EIF6,  CTDSP1,  ATP1B3,  CCNL1,  SNRPB,  EIF3A,  SNRPN,  STAT3,  IRF2BP2,  LDB1,  RNH1,  RBM42,  IRF3
AP1B1	 LSM7,  ACP1,  IMP3,  IDH3G,  YKT6,  CHKB,  CXXC1,  MET,  SCAND1,  VPS39,  GAK,  CLCN7,  GLYR1,  RAB11A,  RNF126,  VPS52,  ZMIZ2,  ATG4B,  COASY,  DGCR2,  DDX41,  ERAL1,  SLTM,  LYPLA2
